author,degree,betweenness,eigenvector
"Al-Ghamdi, Ahmed A.",0.0007605205340544194,1.7842899353061807e-05,9.953871226862427e-05
"Guo, ZhiWei",0.0003380091262464086,0.0,1.4938612906310709e-05
"Zheng, Jian",0.0006760182524928173,2.0466165366466492e-05,7.495771482420105e-05
"Li, Binrong",0.0006760182524928173,2.0466165366466492e-05,7.495771482420105e-05
"Da, ZuLin",0.0003380091262464086,0.0,1.4938612906310709e-05
"Meng, Minjia",0.0011830319418624302,0.0009498546928110968,0.00014455091557899252
"Ma, Yuli",8.450228156160216e-05,0.0,1.0090914559221781e-48
"Lang, Junyu",0.0001690045631232043,0.0,1.4270708226399565e-48
"Zhuang, Huaqiang",0.0003380091262464086,0.0,3.683167485230363e-33
"Cai, Zhenping",0.0003380091262464086,0.0,3.683167485230363e-33
"Xu, Wentao",0.0003380091262464086,0.0,3.683167485230363e-33
"Huang, Mianli",0.0003380091262464086,0.0,3.683167485230363e-33
"Liu, Xiaobin",0.0003380091262464086,0.0,3.683167485230363e-33
"Wan, Changxin",0.000507013689369613,0.0,9.009010349467895e-06
"Shi, Tianlong",0.000507013689369613,0.0,9.009010349467895e-06
"Yan, Wei",0.001014027378739226,0.00014862540324987972,1.0702207188238734e-05
"Li, Heng",0.000507013689369613,0.0,9.009010349467895e-06
"Liu, Chunsheng",0.000507013689369613,0.0,9.009010349467895e-06
"Meng, Lan",0.000507013689369613,0.0,9.009010349467895e-06
"Yan, Xiaohong",0.0010985296603008281,0.0002749687863293229,0.0001407942039200048
"Mehmood, Rashid",0.0011830319418624302,0.0,1.2309651933721304e-09
"Ahmad, Zia",0.0011830319418624302,0.0,1.2309651933721304e-09
"Hussain, Muhammad Bilal",0.0011830319418624302,0.0,1.2309651933721304e-09
"Athar, Muhammad",0.0011830319418624302,0.0,1.2309651933721304e-09
"Akbar, Ghulam",0.0011830319418624302,0.0,1.2309651933721304e-09
"Ajmal, Zeeshan",0.0011830319418624302,0.0,1.2309651933721304e-09
"Iqbal, Sikandar",0.0011830319418624302,0.0,1.2309651933721304e-09
"Razaq, Rameez",0.0011830319418624302,0.0,1.2309651933721304e-09
"Ali, Mohammad Arif",0.0011830319418624302,0.0,1.2309651933721304e-09
"Qayum, Abdul",0.0011830319418624302,0.0,1.2309651933721304e-09
"Chishti, Aadil Nabi",0.0011830319418624302,0.0,1.2309651933721304e-09
"Zaman, Fakhr Uz",0.0011830319418624302,0.0,1.2309651933721304e-09
"Shah, Rahim",0.0011830319418624302,0.0,1.2309651933721304e-09
"Zaman, Shahid",0.0018590501943552475,0.0,1.3319504471051076e-09
Adnan,0.0011830319418624302,0.0,1.2309651933721304e-09
"Zhu, Chengzhang",0.002704073009971269,0.0027538903384814167,0.0004484207555685004
"Xiao, Wei",0.0009295250971776238,0.0,0.00015904760104949657
"Xu, Xiaoming",0.002112557039040054,0.0012223781045654276,0.00029014224942512667
"Zhou, Yuxuan",0.0009295250971776238,0.0,0.00015904760104949657
"Xie, Aming",0.0009295250971776238,0.0,0.00015904760104949657
"Kim, Jong Hun",0.000507013689369613,0.0,5.327153564675236e-26
"Dash, Jatis Kumar",0.000507013689369613,0.0,5.327153564675236e-26
"Kwon, Junyoung",0.000507013689369613,0.0,5.327153564675236e-26
"Hyun, Changbae",0.000507013689369613,0.0,5.327153564675236e-26
"Kim, Hangyel",0.000507013689369613,0.0,5.327153564675236e-26
"Ji, Eunji",0.000507013689369613,0.0,5.327153564675236e-26
"Lee, Gwan-Hyoung",0.000507013689369613,0.0,5.327153564675236e-26
"Alnaggar, Gubran",0.0006760182524928173,0.0,4.9733733232740675e-20
"Alkanad, Khaled",0.001014027378739226,0.0,7.353037015095403e-20
"Chandrashekar, Sujay Shekar G.",0.000507013689369613,0.0,3.973870369133596e-20
"Bajiri, Mohammed Abdullah",0.0010985296603008281,0.0,7.665123626908885e-20
"Drmosh, Qasem A.",0.000507013689369613,0.0,3.973870369133596e-20
"Krishnappagowda, Lokanath N.",0.000507013689369613,0.0,3.973870369133596e-20
"Ananda, Sannaiah",0.0006760182524928173,0.0,4.9733733232740675e-20
"Devarayapalli, Kamakshaiah Charyulu",0.00042251140780801076,0.0,2.793203157953156e-29
"Kim, Bolam",0.00042251140780801076,0.0,2.793203157953156e-29
"Manchuri, Amaranadha Reddy",0.00042251140780801076,0.0,2.793203157953156e-29
"Lim, Youngsu",0.00042251140780801076,0.0,2.793203157953156e-29
"Kim, Gyuhyeon",0.00042251140780801076,0.0,2.793203157953156e-29
"Lee, Dae Sung",0.00042251140780801076,0.0,2.793203157953156e-29
"Liu, Jing",0.004056109514956904,0.013556854388894627,0.0007589664579809762
"Yang, Lubing",0.0003380091262464086,0.0,4.380498877596305e-05
"Li, Chen",0.0013520365049856345,0.0019268148398546437,4.645849035824139e-05
"Chen, Yongkai",0.0003380091262464086,0.0,4.380498877596305e-05
"Zhang, Zhen",0.0018590501943552475,0.004906489895272553,6.015801762743101e-05
"Chen, Mianke",0.001014027378739226,0.0,7.94173732588696e-13
"Zhang, Chenghong",0.001014027378739226,0.0,7.94173732588696e-13
"Liu, Ruikai",0.001014027378739226,0.0,7.94173732588696e-13
"Qiu, Kang",0.001014027378739226,0.0,7.94173732588696e-13
"Gao, Youlin",0.001014027378739226,0.0,7.94173732588696e-13
"Qiang, Yikang",0.001014027378739226,0.0,7.94173732588696e-13
"Yang, Yiqing",0.001014027378739226,0.0,7.94173732588696e-13
"Chai, Wuyi",0.001014027378739226,0.0,7.94173732588696e-13
"Khalifa, Mahmoud A.",0.001014027378739226,0.0,7.94173732588696e-13
"Luo, Jialiang",0.001014027378739226,0.0,7.94173732588696e-13
"Ding, Wei",0.001014027378739226,0.0,7.94173732588696e-13
"Zheng, Ganhong",0.001014027378739226,0.0,7.94173732588696e-13
"Sheng, Zhigao",0.001014027378739226,0.0,7.94173732588696e-13
"Lou, Ping",8.450228156160216e-05,0.0,1.1672423683483423e-52
"Lee, Jin Yong",8.450228156160216e-05,0.0,1.1672423683483423e-52
"Tao, Ji",0.0007605205340544194,0.0,0.00032078985961222047
"Xu, Liang",0.0023660638837248605,0.0019469996309385334,0.0006766756982035339
"Li, Can",0.0023660638837248605,0.004758257758341962,0.0013948574194356795
"Xiong, Shixian",0.0007605205340544194,0.0,0.00032078985961222047
"Xu, Zhiqiang",0.0007605205340544194,0.0,0.00032078985961222047
"Shao, Jingyao",0.0007605205340544194,0.0,0.00032078985961222047
"Cao, Lei",0.0007605205340544194,0.0,0.00032078985961222047
"Zhang, Ying",0.0019435524759168496,0.009978007842767091,0.002473919939297921
"Dong, Kejun",0.0007605205340544194,0.0,0.00032078985961222047
"Wang, Ling-Ling",0.0017745479127936454,0.0003570431507731859,0.0005194464283519178
"Wang, Bolun",0.0010985296603008281,0.0,3.4948625512357505e-05
"Luo, Hao",0.0010985296603008281,0.0,3.4948625512357505e-05
"Wang, Xuewen",0.0010985296603008281,0.0,3.4948625512357505e-05
"Wang, Enze",0.0010985296603008281,0.0,3.4948625512357505e-05
"Sun, Yufei",0.0010985296603008281,0.0,3.4948625512357505e-05
"Tsai, Yu-Chien",0.0010985296603008281,0.0,3.4948625512357505e-05
"Dong, Jinxuan",0.0010985296603008281,0.0,3.4948625512357505e-05
"Liu, Peng",0.0019435524759168496,0.0008131201595274681,6.644575502149085e-05
"Li, Huanglong",0.0019435524759168496,0.000885269615743192,0.00015496765630748055
"Xu, Yong",0.0010985296603008281,0.0,3.4948625512357505e-05
"Tongay, Sefaattin",0.0010985296603008281,0.0,3.4948625512357505e-05
"Jiang, Kaili",0.0010985296603008281,0.0,3.4948625512357505e-05
"Fan, Shoushan",0.0010985296603008281,0.0,3.4948625512357505e-05
"Liu, Kai",0.0028730775730944733,0.001131654736142104,0.00015501748750710987
"Wang, Qiang",0.0024505661652864624,0.0045850849417764,0.000502499166672757
"Tang, Ying",0.00042251140780801076,0.0,5.3582020507599216e-05
"Li, Yanqin",0.00042251140780801076,0.0,5.3582020507599216e-05
"Li, Tiantian",0.0010985296603008281,0.0023698930101353575,0.0001211347478288254
"Wang, Chuanyi",0.0012675342234240324,0.0031900605316083352,0.00016236228506501835
"Yu, Feng",0.0011830319418624302,0.0012176630823876485,0.0002743252121304487
"Xiong, Ya",0.0008450228156160215,0.0,5.854052211943375e-07
"Liu, Wendi",0.0008450228156160215,0.0,5.854052211943375e-07
"Qiao, Xurong",0.0005915159709312151,0.0,5.226139971727487e-07
"Song, Xiaojie",0.0011830319418624302,6.452794858781036e-06,1.0377484377271914e-06
"Wang, Shichao",0.0007605205340544194,3.226397429390518e-06,7.491193765488528e-07
"Zhang, Xiaoli",0.0005915159709312151,0.0,5.226139971727487e-07
"Wang, Xinzhen",0.002028054757478452,0.0003469052869895551,3.5309994657757837e-06
"Tian, Jian",0.0024505661652864624,0.006552204213534152,3.8370032918892584e-06
"Xiao, Xing",0.0010985296603008281,9.850007136181949e-06,1.1598318521518939e-05
"Jia, Yunling",0.0005915159709312151,0.0,3.898657813332005e-06
"Hong, Wanyu",0.0010985296603008281,9.850007136181949e-06,1.1598318521518939e-05
"He, Yuqing",0.0005915159709312151,0.0,3.898657813332005e-06
"Wang, Yanjun",0.0010985296603008281,9.850007136181949e-06,1.1598318521518939e-05
"Zhao, Lizhi",0.0010985296603008281,9.850007136181949e-06,1.1598318521518939e-05
"An, Huiqin",0.0010985296603008281,9.850007136181949e-06,1.1598318521518939e-05
"Yin, Zhen",0.0019435524759168496,0.0005166377144499855,1.886610607124631e-05
"Fu, Chen",0.0005915159709312151,0.0,0.0002668162613841613
"Li, Hongjiang",0.0005915159709312151,0.0,0.0002668162613841613
"Jiang, Jianing",0.0005915159709312151,0.0,0.0002668162613841613
"Shen, Jinni",0.0011830319418624302,3.0302771619047512e-05,0.0011452887871070709
"Long, Jinlin",0.0011830319418624302,3.0302771619047512e-05,0.0011452887871070709
"Dai, Wenxin",0.0010985296603008281,0.0003447943728724883,0.00036578016918526347
"Wang, Xuxu",0.0015210410681088388,0.005787208548421017,0.0011608675513002994
"Zhang, Zizhong",0.0019435524759168496,0.002525199438102803,0.001207278834969511
"Xie, Zhongkai",0.000507013689369613,0.0,4.176339974118685e-05
"Xu, Yuyan",0.000507013689369613,0.0,4.176339974118685e-05
"Li, Di",0.001605543349670441,0.00024542239726787677,0.0002451881251889573
"Chen, Lijie",0.000507013689369613,0.0,4.176339974118685e-05
"Meng, Suci",0.0008450228156160215,1.1252118230508407e-05,5.320283814726427e-05
"Jiang, Deli",0.0010985296603008281,7.219479316349515e-05,0.00022793391584700087
"Chen, Min",0.0021970593206016562,0.003878833361042661,0.00025992466111309333
"Du, Ruifeng",0.0005915159709312151,0.0,9.583611349537757e-06
"Li, Baoying",0.0005915159709312151,0.0,9.583611349537757e-06
